Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Post Malone Ft. Morgan Wallen,I HAD SOME HELP,2024-10-05T15:06:10,2024-10-05T15:09:10,,538
Calvin Harris & Ellie Goulding,Miracle,2024-10-05T14:06:58,2024-10-05T14:09:58,False,Q
Myles Smith,Stargazing,2024-10-05T15:05:39,2024-10-05T15:08:39,,Sky
Dire Straits,Walk Of Life,2024-10-05T15:05:15,2024-10-05T15:08:15,False,10
Daft Punk ft. Pharrell & Nile Rodgers,Get Lucky,2024-10-05T14:06:20,2024-10-05T14:10:26,False,3
The Bellamy Brothers,Let Your Love Flow,2024-10-05T14:07:20,2024-10-05T14:10:35,False,5
"David Guetta, Kim Petras",When We Were Young (The Logical Song),2024-10-05T14:09:00,2024-10-05T14:12:00,False,538
Calvin Harris & Ellie Goulding,Miracle,2024-10-05T14:06:58,2024-10-05T14:09:58,False,Q
Beyonce,Halo,2024-10-05T14:08:27,2024-10-05T14:11:27,True,Sky
Eros Ramazzotti,Se Bastasse Una Canzone,2024-10-05T14:09:12,2024-10-05T14:12:12,False,10
Frankie goes to Hollywood,Relax,2024-10-05T14:09:28,2024-10-05T14:13:25,False,2
Daft Punk ft. Pharrell & Nile Rodgers,Get Lucky,2024-10-05T14:06:20,2024-10-05T14:10:26,False,3
The Bellamy Brothers,Let Your Love Flow,2024-10-05T14:07:20,2024-10-05T14:10:35,False,5
Dua Lipa,Houdini,2024-10-05T14:10:20,2024-10-05T14:13:25,True,3
Billie Eilish,Birds Of A Feather,2024-10-05T14:12:10,2024-10-05T14:15:10,True,Sky
Sabrina Carpenter,TASTE,2024-10-05T14:12:23,2024-10-05T14:15:23,,538
Queen,Radio Ga Ga,2024-10-05T14:12:50,2024-10-05T14:15:50,False,Q
Dasha,Austin,2024-10-05T14:13:18,2024-10-05T14:16:01,,2
Sophie Ellis Bextor,Murder On The Dancefloor,2024-10-05T14:14:48,2024-10-05T14:17:48,True,10
Sister Sledge,Frankie,2024-10-05T14:14:51,2024-10-05T14:19:04,True,5
Foreigner,COLD AS ICE,2024-10-05T14:14:59,2024-10-05T14:17:59,False,538
Bryan Adams,Summer Of '69,2024-10-05T14:15:39,2024-10-05T14:18:39,False,Sky
Teddy Swims,Bad Dreams,2024-10-05T14:15:47,2024-10-05T14:18:51,False,3
Davina Michelle,I Won't Let Go,2024-10-05T14:16:30,2024-10-05T14:19:30,True,Q
