Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Tom Van Der Weerd,Maximum Weekend Mix,2024-02-24T23:59:58,2024-02-25T00:02:58,False,Q
Lewis Capaldi,Strangers,2024-02-25T00:01:51,2024-02-25T00:04:51,False,Sky
James Brown,Living In America,2024-02-25T00:02:24,2024-02-25T00:06:33,False,Veronica
Barry White,Can't Get Enough Of Your Love Babe,2024-02-25T00:02:45,2024-02-25T00:07:00,False,2
Barbra Streisand,Woman In Love,2024-02-25T00:02:51,2024-02-25T00:06:39,True,5
Maroon 5,This Love,2024-02-25T00:05:24,2024-02-25T00:08:24,False,Sky
Genesis,I Can't Dance,2024-02-25T00:07:28,2024-02-25T00:11:27,False,Veronica
Johnny Gill,My My My,2024-02-25T00:06:57,2024-02-25T00:12:13,False,2
Kinks,Wonderboy,2024-02-25T00:06:34,2024-02-25T00:09:24,False,5
Cnco & Little Mix,Reggaeton Lento (Remix),2024-02-25T00:08:41,2024-02-25T00:11:41,False,Sky
Cockney Rebel,Sebastian,2024-02-25T00:09:29,2024-02-25T00:15:10,False,5
Arcade Fire,Everything Now,2024-02-25T00:12:16,2024-02-25T00:16:58,False,Veronica
Ben E. King,Stand By Me,2024-02-25T00:11:52,2024-02-25T00:14:52,False,Sky
Lynn Collins,Think (about it),2024-02-25T00:12:13,2024-02-25T00:15:34,False,2
Post Malone,Chemical,2024-02-25T00:14:35,2024-02-25T00:17:35,False,Sky
Oliver Pesch,Heart Attack,2024-02-25T00:15:07,2024-02-25T00:18:40,False,5
Dire Straits,Lady Writer,2024-02-25T00:17:04,2024-02-25T00:20:48,False,Veronica
Luther Vandross,Sugar And Spice (I Found Me A Girl),2024-02-25T00:15:29,2024-02-25T00:20:24,False,2
Boyzone,Picture Of You,2024-02-25T00:17:38,2024-02-25T00:20:38,False,Sky
Colin Blunstone,I Don't Believe In Miracles,2024-02-25T00:18:35,2024-02-25T00:21:29,False,5
Miley Cyrus,Midnight Sky,2024-02-25T00:20:46,2024-02-25T00:23:46,True,Sky
U2,I Still Haven't Found What I'm Looking For,2024-02-25T00:21:51,2024-02-25T00:26:28,False,Veronica
Donell Jones,U Know What's Up,2024-02-25T00:20:17,2024-02-25T00:24:16,False,2
Ilse DeLange,I'm Not So Tough,2024-02-25T00:21:23,2024-02-25T00:25:53,True,5
Pink,All Out Of Fight,2024-02-25T00:24:29,2024-02-25T00:27:29,True,Sky
Hot Chocolate,Everyone's A Winner,2024-02-25T00:24:14,2024-02-25T00:28:15,False,2
