Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal,Programma
Adele,Set Fire To The Rain,2024-10-19T04:54:35,2024-10-19T04:57:35,True,Sky,Nonstop Music Morning Show
Champaign,How 'Bout Us,2024-10-19T04:56:16,2024-10-19T04:59:16,False,10,Het Weekend van 10 Non-Stop
Lewis Capaldi,Forget Me,2024-10-19T05:00:00,2024-10-19T05:03:20,False,Veronica,Oh Wat Een Nacht
Charly Lownoise & Mental Theo,Wonderfull Days,2024-10-19T04:57:55,2024-10-19T05:01:39,False,2,Top 2000 Dossier
Zombie Nation,Kernkraft 400,2024-10-19T04:57:10,2024-10-19T05:00:37,False,3,Sebastiaan Ockhuysen
Myles Smith,Stargazing,2024-10-19T05:07:04,2024-10-19T05:10:04,onbekend,538,53N8 Non-Stop
*Nsync,Bye Bye Bye,2024-10-19T05:07:01,2024-10-19T05:10:01,False,Q,Qmusic
Donovan,Mellow Yellow,2024-10-19T05:57:36,2024-10-19T06:01:14,False,5,Wekker-Wakker-Weekend
Patrick Swayze,She's Like The Wind,2024-10-19T06:49:31,2024-10-19T06:52:31,False,Sky,Nonstop Music Morning Show
Robbie Williams,Come Undone,2024-10-19T06:51:29,2024-10-19T06:54:29,False,10,Silvan Stoet
Frank Stallone,Far From Over,2024-10-19T07:04:31,2024-10-19T07:07:43,False,Veronica,Ferry Oomen
Steve Winwood,Valerie,2024-10-19T07:06:31,2024-10-19T07:10:39,False,2,Vroeg Pieken
Snow Patrol,Shut Your Eyes,2024-10-19T07:06:57,2024-10-19T07:10:13,False,3,Mart Meijer
Claude,LA PRESSION,2024-10-19T07:08:32,2024-10-19T07:11:32,False,538,Julia van Reyendam
Alex Warren,Burning Down,2024-10-19T07:12:19,2024-10-19T07:15:19,onbekend,Q,Jorien Renkema
Shocking Blue,Never Marry A Railroad Man,2024-10-19T08:02:26,2024-10-19T08:05:26,False,5,Wekker-Wakker-Weekend
Teddy Swims,The Door,2024-10-19T08:50:13,2024-10-19T08:53:13,False,Sky,Nonstop Music Morning Show
Talk Talk,It's My Life,2024-10-19T08:50:30,2024-10-19T08:53:30,False,10,Silvan Stoet
No Doubt,It's My Life,2024-10-19T09:08:35,2024-10-19T09:12:20,False,Veronica,Ferry Oomen
Red Hot Chili Peppers,Dani California,2024-10-19T09:09:58,2024-10-19T09:14:40,False,3,Mart Meijer
Rondé,TAKING MY LOVE BACK,2024-10-19T09:12:01,2024-10-19T09:15:01,False,538,Het Beste van De 538 Ochtendshow
Madonna,Into The Groove,2024-10-19T09:12:52,2024-10-19T09:17:37,True,2,Vroeg Pieken
Douwe Bob,I Believe,2024-10-19T09:15:53,2024-10-19T09:18:53,False,Q,Vincent Pronk
Fortunes,You've Got Your Troubles,2024-10-19T10:05:38,2024-10-19T10:08:58,False,5,FM Op 5
Douwe Bob,I Believe,2024-10-19T10:51:55,2024-10-19T10:54:55,False,Sky,Nonstop Weekend
Madness,Our House,2024-10-19T10:52:18,2024-10-19T10:55:18,False,10,Robert Feller
Michael Jackson,Wanna Be Startin' Somethin',2024-10-19T11:12:38,2024-10-19T11:16:57,False,Veronica,Verschuurens Goud van Oud
Oasis,Live Forever,2024-10-19T11:13:27,2024-10-19T11:17:09,False,3,Rámon Verkoeijen
Ana Mena & Belinda,LAS 12,2024-10-19T11:14:40,2024-10-19T11:17:40,onbekend,538,Het Beste van De 538 Ochtendshow
Marshmello & Kane Brown,Miles On It,2024-10-19T11:16:58,2024-10-19T11:19:50,onbekend,2,Rinkeldekinkel
One Direction,Live While We're Young,2024-10-19T11:17:00,2024-10-19T11:20:00,False,Q,Vincent Pronk
Stampeders,Hit The Road Jack,2024-10-19T12:09:45,2024-10-19T12:12:37,False,5,Angela
Clean Bandit & Anne Marie & David Guetta,Cry Baby,2024-10-19T12:50:40,2024-10-19T12:53:40,onbekend,Sky,Nonstop Weekend
The Corrs,Radio,2024-10-19T12:49:13,2024-10-19T12:52:13,True,10,Jan-Paul Grootentraast
Toto,Africa,2024-10-19T13:15:49,2024-10-19T13:20:10,False,3,Mark en Mai
Sabrina Carpenter,Taste,2024-10-19T13:18:26,2024-10-19T13:21:00,onbekend,Veronica,WeekendRick
Red Hot Chili Peppers,OTHERSIDE,2024-10-19T13:14:01,2024-10-19T13:17:01,False,538,Jordi Warners
Armin Van Buuren & Chef'Special,Larger Than Life,2024-10-19T13:25:21,2024-10-19T13:28:21,onbekend,Q,Tom & Bram
The War On Drugs,Under The Pressure,2024-10-19T14:07:13,2024-10-19T14:11:07,onbekend,2,Evelien
Alison Moyet,All Cried Out,2024-10-19T14:16:10,2024-10-19T14:19:52,True,5,Magical Mystery Tour
Duran Duran,A View To A Kill,2024-10-19T14:50:55,2024-10-19T14:53:55,False,10,Jan-Paul Grootentraast
Katy Perry Ft Skip Marley,Chained To The Rhythm,2024-10-19T14:50:05,2024-10-19T14:53:05,True,Sky,Weekend Hits
Swedish House Mafia Ft. Alicia Keys,FINALLY,2024-10-19T15:11:47,2024-10-19T15:14:47,onbekend,538,Top 50
Propaganda,P Machinery,2024-10-19T15:22:36,2024-10-19T15:26:26,False,Veronica,WeekendRick
