Artiest,Man?,Group
4 Tune Fairytales,Man,Group
A Great Big World Ft Christina Aguilera,?,Featuring
Acid,Man,Group
Alan Jackson,Man,Person
Alex Harvey,Man,Person
Alizee,Vrouw,Person
Alvaro Soler,Man,Person
Alvaro Soler & Topic,?,Featuring
Alvin Stardust,Man,Person
Amen Corner,Man,Group
American Authors,Man,Group
Amii Stewart,Vrouw,Person
Aphrodite's Child,Man,Group
Argent,Man,Group
Aronchupa,Man,Person
Ashford & Simpson,?,Featuring
Asleep At The Wheel,Man,Group
Atb & Topic & A7S,?,Featuring
Atb X Topic X A7S,Man,Person
Aventura,Man,Group
Azoto,Man,Group
B.F.I.,Man,Group
Babyface,Man,Person
Bad English,Man,Group
Bananarama,Vrouw,Group
Banners,Man,Person
BAP,Man,Group
Barclay James Harvest,Man,Group
Barry & Eileen,?,Featuring
Barry Ryan,Man,Person
Barthezz,?,Person
Basto!,Man,Person
Bazart/Pommelien Thijs,?,Featuring
Beats International,Man,Group
Bennet Bee,Man,Group
Bennett,Man,Person
Berlin,Man,Group
Bicep,Man,Group
Bit Machine & Daisy Dee,?,Featuring
Black Box,Man,Group
Bob Sinclar & Sugarhill Gang,?,Featuring
Bobby Womack,Man,Person
Bomb The Bass,Man,Group
Bow Wow Wow,Man,Group
Bread,Man,Group
Brian May,Man,Person
BRTHR,Man,Group
Bucketheads,Man,Person
Calvin Harris & Dua Lipa,?,Featuring
Cameo,Man,Group
Caribou,Man,Person
Carl Douglas,Man,Person
Cassö & Raye & D-Block Europe,?,Featuring
Cb Milton,Man,Person
Celvin Rotane,Man,Person
Chainsmokers Ft Coldplay,?,Featuring
Charli XCX,Vrouw,Person
Cheap Trick,Man,Group
Christian Lopez,Man,Person
Christopher Cross,Man,Person
Clarence Clemons & Jackson Browne,?,Featuring
Class Action,Vrouw,Group
Clout,Vrouw,Group
Cnco & Little Mix,?,Featuring
Coldcut ft. Lisa Stansfield,?,Featuring
Colonel Abrams,Man,Person
Communards,Man,Group
Conquistador,Man,Group
Contours,Man,Person
Coolio & Lv,?,Featuring
Corona,Man,Group
"Cotton, Lloyd & Christian",?,Featuring
Crown Heights Affair,Man,Group
Damien Rice,Man,Person
Dave,Man,Person
Dave Dee Dozy Beaky Mick & Tich,?,Featuring
Dave Edmunds,Man,Person
David Dundas,Man,Person
De Poema's,Vrouw,Group
Dennis van Aarssen,Man,Person
Divine,Man,Person
Dj Snake Ft Justin Bieber,?,Featuring
Django Wagner,Man,Person
DNCE,Man,Group
Dodgy,Man,Group
Donald Fagen,Man,Person
Dr. Buzzard's Original Savannah Band,Man,Group
Drifters,?,Featuring
Duke,Man,Person
Eddie Money,Man,Person
Edward Maya & Vika Jigulina,?,Featuring
El Debarge,Man,Person
ELLIOTT SMITH,Man,Person
Elmer,Man,Person
Elvin Bishop,Man,Person
Erik Mesie,Man,Person
"Evelyn ""Champagne"" King",Vrouw,Person
Everything But The Girl,Man,Group
Exile,Man,Group
Ezra Glatt,Vrouw,Person
Fairground Attraction,Man,Group
Fedez,Man,Person
Fischer Z,Man,Group
Fischer-Z,Man,Group
Flowerovlove,Vrouw,Person
Focus,Man,Group
Fontaines D.C.,Man,Group
Fontella Bass,Vrouw,Person
Forrest,Man,Person
Fred Again,Man,Person
"Fred again.., Obongjayar",Man,Person
Fred Piek,Man,Person
Freddie Aguilar,Man,Person
Free,Man,Group
Freestylers,Man,Group
Full House,Man,Group
Fun.,Vrouw,Group
Future Islands,Man,Group
Gabry Ponte & Lum!X Ft. Daddy Dj,?,Featuring
Gap Band,Man,Group
Gayle,Vrouw,Person
Gazebo,Man,Person
Gene Pitney,Man,Person
Georgie Fame,Man,Person
Gibson Brothers,Man,Group
Gilbert Becaud,Man,Person
Gordon Lightfoot,Man,Person
Gotye & Kimbra,?,Featuring
Grandmaster Flash & The Furious Five,?,Featuring
Greenfield & Cook,?,Featuring
Greg Kihn Band,Man,Group
Guru Josh Project,Man,Group
Guy,Man,Person
Haddaway,Man,Person
Harry Chapin,Man,Person
Heatwave,Man,Group
Heavy D & The Boyz,?,Featuring
Hollis P. Monroe,Man,Person
Honeybus,Man,Group
Hoobastank,Man,Group
Hudson Mohawke / Nicki Nair / Tayla Parx,?,Featuring
Hues Corporation,Man,Group
Icehouse,Man,Group
Imagine Dragons x J.I.D.,Man,Group
Incognito,Man,Group
Incognito & Jocelyn Brown,?,Featuring
Indeep,Man,Group
Inhaler,?,Person
Inner Circle,Man,Group
Inner City,Man,Group
Iron Maiden,Man,Group
J Geils Band,Man,Group
J. Vincent Edwards,Man,Person
Jack Harlow,Man,Person
Jaki Graham,Vrouw,Person
James Morrison & Nelly Furtado,?,Featuring
Jason Paige,Man,Person
Jawsh 685 & Jason Derulo,?,Featuring
Jawsh 685 X Jason Derulo,Man,Person
Jax Jones Ft. Mnek,?,Featuring
Jc Stewart,Man,Person
Jeff Wayne & Justin Hayward,?,Featuring
Jefferson Airplane,Man,Group
Jere Klein Ft. Nicki Nicole,?,Featuring
JET,Man,Group
Jigsaw,Man,Group
Jimmy Bo Horne,Man,Person
Jimmy Nail,Man,Person
Jody Watley,Vrouw,Person
Joel Corry & Mnek,?,Featuring
Joel Corry Feat. Raye,?,Featuring
